DataTransacao,Cliente,TipoTransacao,Valor_Transacoes,Bandeira,Aprovado
2022-12-24 07:37:43,Cliente 8,Estorno,3426.39,Visa,Sim
2022-02-20 22:15:55,Cliente 10,Fraude,4902.96,MasterCard,Não
2022-10-26 07:27:30,Cliente 8,Compra,2213.53,Elo,Sim
2022-07-05 20:51:52,Cliente 10,Estorno,1428.74,Visa,Não
2022-08-21 13:25:55,Cliente 5,Estorno,3162.92,MasterCard,Não
2022-08-25 01:51:20,Cliente 5,Fraude,3591.45,Visa,Sim
2022-10-31 01:34:17,Cliente 5,Saque,3548.87,Amex,Não
2022-08-24 23:06:23,Cliente 6,Saque,2664.12,Visa,Não
2022-01-10 22:28:25,Cliente 10,Estorno,912.94,Amex,Sim
2022-05-03 15:57:51,Cliente 9,Compra,4259.49,Visa,Sim
2022-07-02 12:26:01,Cliente 10,Fraude,3928.02,MasterCard,Sim
2022-05-08 04:15:48,Cliente 9,Compra,80.06,MasterCard,Sim
2022-02-09 14:25:13,Cliente 7,Fraude,1969.57,Elo,Não
2022-02-12 21:12:37,Cliente 2,Fraude,896.48,MasterCard,Sim
2022-09-08 03:03:03,Cliente 7,Compra,561.1,Elo,Não
2022-05-13 16:06:22,Cliente 2,Estorno,3213.49,Amex,Não
2022-04-09 09:23:39,Cliente 8,Compra,478.02,MasterCard,Sim
2022-10-27 20:40:49,Cliente 4,Estorno,1066.31,MasterCard,Sim
2022-07-16 08:17:52,Cliente 5,Saque,2893.79,Amex,Sim
2022-06-20 18:37:26,Cliente 1,Fraude,3275.04,Amex,Não
2022-05-06 17:55:12,Cliente 10,Estorno,3124.97,MasterCard,Não
2022-01-31 14:53:18,Cliente 2,Estorno,2329.78,Visa,Não
2022-03-04 17:43:41,Cliente 6,Estorno,752.16,Elo,Não
2022-07-10 21:56:24,Cliente 3,Fraude,4901.26,Visa,Sim
2022-07-01 09:19:47,Cliente 2,Fraude,4835.87,Amex,Não
2022-08-15 02:25:43,Cliente 3,Fraude,3809.64,MasterCard,Sim
2022-06-23 05:05:18,Cliente 10,Fraude,4158.82,Amex,Sim
2022-01-29 03:37:52,Cliente 6,Estorno,2544.82,Visa,Não
